date,open,high,low,close,TR,ATR,CI,trend
2016.04.06,1.41586,1.41709,1.40048,1.41205,0.016610000000000014,0.01406142857142859,54.31518314526238,1
2016.04.07,1.41198,1.41567,1.40485,1.40557,0.010820000000000052,0.01409285714285716,57.726449652772764,1
2016.04.08,1.40556,1.41403,1.404,1.41201,0.010029999999999983,0.014015000000000015,58.185172619424925,1
2016.04.11,1.41132,1.42863,1.41056,1.42347,0.01807000000000003,0.013829285714285735,57.860328669796964,1
2016.04.12,1.42337,1.43478,1.41963,1.42733,0.015149999999999997,0.01386214285714287,57.55866356174219,1
2016.04.13,1.4272,1.42791,1.4192,1.42014,0.008709999999999996,0.013583571428571441,57.223244092544114,1
2016.04.14,1.42013,1.42063,1.40898,1.41513,0.01165000000000016,0.014072142857142882,57.110598408654596,1
2016.04.15,1.41508,1.42409,1.41323,1.4199,0.010860000000000092,0.013681428571428591,56.843743926584246,1
2016.04.18,1.41947,1.42902,1.41303,1.42751,0.01598999999999995,0.013331428571428581,56.31417938871583,1
2016.04.19,1.42748,1.44185,1.427,1.43932,0.01485000000000003,0.013691428571428577,58.834879901939935,1
2016.04.20,1.43937,1.44099,1.43275,1.43275,0.008240000000000025,0.013562857142857146,59.25165673667389,1
2016.04.21,1.43288,1.44398,1.42986,1.43205,0.014120000000000132,0.013139285714285734,56.87610109216911,1
2016.04.22,1.43206,1.44512,1.43096,1.43997,0.01415999999999995,0.013214285714285734,55.48125001672741,1
2016.04.25,1.44608,1.45191,1.44022,1.44789,0.011940000000000062,0.012942857142857176,49.73255086225344,1
2016.04.26,1.44788,1.46384,1.44771,1.45787,0.016129999999999978,0.01290857142857146,43.76434696388198,1
2016.04.27,1.45782,1.46207,1.44724,1.45394,0.014829999999999899,0.013195000000000021,43.58479095362053,1
2016.04.28,1.45395,1.46223,1.45219,1.46054,0.010039999999999827,0.013195714285714295,46.71265990923878,1
2016.04.29,1.46006,1.46698,1.45759,1.46068,0.00939000000000001,0.012575714285714292,44.350403598004625,1
2016.05.02,1.45808,1.46958,1.45804,1.4672,0.011540000000000106,0.012317857142857158,42.374458516542624,1
